code,count,example_label,example_addr,example_context
0042,57,DATA16_BAAE0C,BAAE0C, <$0042>
0062,46,Text_Diary,B68802,1>                          <$0062><$0063><CHOICE_OR_WAIT>c
0063,46,Text_Diary,B68802,                     <$0062><$0063><CHOICE_OR_WAIT>c
0060,42,Text_Diary,B68802,diário antes de ir dormir? /  <$0060><$0061>                     
0061,42,Text_Diary,B68802,antes de ir dormir? /  <$0060><$0061>                          <$
00B7,9,DATA16_B7C4E0,B7C4E0,Custa <$00B7><CTRL_B2><CTRL_B2><CTRL_B2>G
00B8,6,DATA16_B7C88E,B7C88E,materiais.   Precisa de uns <$00B8> gol- / pes para cortá-los
00B6,6,DATA16_B7E660,B7E660,O terremoto dessa noite deu <$00B6> pontos na escala richter. / O
00BA,4,DATA16_B9C7E4,B9C7E4,a vaca com isso. É <CTRL_B3><$00BA><CTRL_B2><CTRL_B2>G. /  Compra
00B9,4,DATA16_B9CE24,B9CE24,funcionamento    Na semana: <$00B9>:<CTRL_B2><CTRL_B2> - <CTRL_
003B,2,DATA16_BA8782,BA8782,          Grana <CTRL_FFFC>h<$003B><CTRL_B2>G<CHOICE_OR_WAIT>c
003C,2,DATA16_BA88D2,BA88D2,          Grana <CTRL_FFFC>h<$003C><CTRL_B2>G<CHOICE_OR_WAIT>c
003F,2,DATA16_BB85E0,BB85E0, Vaca    <CTRL_FFFC>c<$003F>                  Galinha <C
0040,2,DATA16_BB85E0,BB85E0,        Galinha <CTRL_FFFC>c<$0040>
0046,2,DATA16_BB8704,BB8704, Amor de Ellen<CTRL_FFFC>d<$0046>
0048,2,DATA16_BB874C,BB874C,e tomates pegos <CTRL_FFFC>d<$0048>
0049,2,DATA16_BB878E,BB878E,e milho pego    <CTRL_FFFC>d<$0049>
004A,2,DATA16_BB87D0,BB87D0,e batatas pegas <CTRL_FFFC>d<$004A>
004F,2,DATA16_BBA436,BBA436, <CTRL_FFFD>jO:<CTRL_FFFC>c<$004F><CTRL_FFFD>cP de <CTRL_FFFD>
0050,2,DATA16_BBA436,BBA436,          Grana <CTRL_FFFC>h<$0050><CTRL_B2>G
0051,2,DATA16_BBA514,BBA514, <CTRL_FFFD>jR:<CTRL_FFFC>c<$0051><CTRL_FFFD>cS de <CTRL_FFFD>
0052,1,DATA16_BBA514,BBA514,ra.       Grana <CTRL_FFFC>h<$0052><CTRL_B2>G
00BB,1,DATA16_BBA60C,BBA60C,>cY de <CTRL_FFFD>gZ.   São <$00BB> horas agora.          Grana
0056,1,DATA16_BBA60C,BBA60C,          Grana <CTRL_FFFC>h<$0056><CTRL_B2>G
0058,1,DATA16_BBA688,BBA688,.         Grana <CTRL_FFFC>h<$0058><CTRL_B2>G
0059,1,DATA16_BBA704,BBA704," <CTRL_FFFD>j?:<CTRL_FFFC>c<$0059><CTRL_FFFD>c"" de <CTRL_FFFD>"
005A,1,DATA16_BBA704,BBA704,om fome. /  Grana <CTRL_FFFC>h<$005A><CTRL_B2>G
005E,1,DATA16_BBA832,BBA832,          Grana <CTRL_FFFC>h<$005E><CTRL_B2>G
0064,1,DATA16_BBA9DE,BBA9DE,ortador. /  Grana <CTRL_FFFC>h<$0064><CTRL_B2>G
0065,1,DATA16_BBAA86,BBAA86,L_FFFD>j<$0049>:<CTRL_FFFC>c<$0065><CTRL_FFFD>c<$004A> de <CTRL
0066,1,DATA16_BBAA86,BBAA86,cansado. /  Grana <CTRL_FFFC>h<$0066><CTRL_B2>G
0067,1,DATA16_BBAB1A,BBAB1A, <CTRL_FFFD>jú:<CTRL_FFFC>c<$0067><CTRL_FFFD>cã de <CTRL_FFFD>
0068,1,DATA16_BBAB1A,BBAB1A,          Grana <CTRL_FFFC>h<$0068><CTRL_B2>G
0069,1,DATA16_BBAC02,BBAC02,L_FFFD>j<$004F>:<CTRL_FFFC>c<$0069><CTRL_FFFD>c<$0050> de <CTRL
006A,1,DATA16_BBAC02,BBAC02,          Grana <CTRL_FFFC>h<$006A><CTRL_B2>G
006B,1,DATA16_BBB384,BBB384,"ntos do rancho  <CTRL_FFFC>d<$006B>       Você foi MUITO mal,"
006C,1,DATA16_BBB640,BBB640,ntos do rancho  <CTRL_FFFC>d<$006C>       Faça melhor
006D,1,DATA16_BBB692,BBB692,ntos do rancho  <CTRL_FFFC>d<$006D>       Vamos lá: está tão pe
006E,1,DATA16_BBB700,BBB700,"ntos do rancho  <CTRL_FFFC>d<$006E>       Ótimo, Mas tente ser "
006F,1,DATA16_BBB78E,BBB78E,"ntos do rancho  <CTRL_FFFC>d<$006F>       Parabéns, Você é o ra"
0070,1,DATA16_BBB832,BBB832,mento do rancho <CTRL_FFFC>d<$0070>&
