old_label,new_label,area
.CODE_829352,.ToolUsedSickle_Branch_829352,bank_82_toolused_subrutines / visual effect allocator
.CODE_8295CA,.ToolUsedHammer_Branch_8295CA,bank_82_toolused_subrutines / visual effect allocator
.CODE_8295F5,.ToolUsedHammer_Branch_8295F5,bank_82_toolused_subrutines / visual effect allocator
.CODE_8296B4,.ToolUsedHammer_Branch_8296B4,bank_82_toolused_subrutines / visual effect allocator
.CODE_829918,.ToolUsedAxe_Branch_829918,bank_82_toolused_subrutines / visual effect allocator
.CODE_8298BC,.ToolUsedAxe_Branch_8298BC,bank_82_toolused_subrutines / visual effect allocator
.CODE_8298C3,.ToolUsedAxe_Branch_8298C3,bank_82_toolused_subrutines / visual effect allocator
.CODE_8298B5,.ToolUsedAxe_Branch_8298B5,bank_82_toolused_subrutines / visual effect allocator
.CODE_8299AB,.ToolUsedCornSeeds_Branch_8299AB,bank_82_toolused_subrutines / visual effect allocator
.CODE_8299BD,.ToolUsedCornSeeds_Branch_8299BD,bank_82_toolused_subrutines / visual effect allocator
.CODE_829A0A,.ToolUsedTomatoSeeds_Branch_829A0A,bank_82_toolused_subrutines / visual effect allocator
.CODE_829A1C,.ToolUsedTomatoSeeds_Branch_829A1C,bank_82_toolused_subrutines / visual effect allocator
.CODE_829A56,.ToolUsedTomatoSeeds_Branch_829A56,bank_82_toolused_subrutines / visual effect allocator
.CODE_829A69,.ToolUsedPotatoSeeds_Branch_829A69,bank_82_toolused_subrutines / visual effect allocator
.CODE_829A79,.ToolUsedPotatoSeeds_Branch_829A79,bank_82_toolused_subrutines / visual effect allocator
.CODE_829AC6,.ToolUsedTurnipSeeds_Branch_829AC6,bank_82_toolused_subrutines / visual effect allocator
.CODE_829AD6,.ToolUsedTurnipSeeds_Branch_829AD6,bank_82_toolused_subrutines / visual effect allocator
.CODE_829B73,.ToolUsedGrassSeeds_Branch_829B73,bank_82_toolused_subrutines / visual effect allocator
.CODE_829B9D,.ToolUsedGrassSeeds_Branch_829B9D,bank_82_toolused_subrutines / visual effect allocator
.CODE_829B90,.ToolUsedGrassSeeds_Branch_829B90,bank_82_toolused_subrutines / visual effect allocator
.CODE_829BCA,.ToolUsedGrassSeeds_Branch_829BCA,bank_82_toolused_subrutines / visual effect allocator
.CODE_829BBB,.ToolUsedGrassSeeds_Branch_829BBB,bank_82_toolused_subrutines / visual effect allocator
.CODE_829BD5,.ToolUsedPaint_Branch_829BD5,bank_82_toolused_subrutines / visual effect allocator
.CODE_829CB0,.ToolUsedPaint_Branch_829CB0,bank_82_toolused_subrutines / visual effect allocator
.CODE_829C1D,.ToolUsedPaint_Branch_829C1D,bank_82_toolused_subrutines / visual effect allocator
.CODE_829C50,.ToolUsedPaint_Branch_829C50,bank_82_toolused_subrutines / visual effect allocator
.CODE_829BE9,.ToolUsedPaint_Branch_829BE9,bank_82_toolused_subrutines / visual effect allocator
.CODE_829C80,.ToolUsedPaint_Branch_829C80,bank_82_toolused_subrutines / visual effect allocator
.CODE_829BF7,.ToolUsedPaint_Branch_829BF7,bank_82_toolused_subrutines / visual effect allocator
.CODE_829C2B,.ToolUsedPaint_Branch_829C2B,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D08,.ToolUsedWateringCan_Branch_829D08,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D54,.ToolUsedGoldSickle_Branch_829D54,bank_82_toolused_subrutines / visual effect allocator
.CODE_829E6E,.ToolUsedGoldSickle_Branch_829E6E,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D61,.ToolUsedGoldSickle_Branch_829D61,bank_82_toolused_subrutines / visual effect allocator
.CODE_829E8D,.ToolUsedGoldSickle_Branch_829E8D,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D7A,.ToolUsedGoldSickle_Branch_829D7A,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D73,.ToolUsedGoldSickle_Branch_829D73,bank_82_toolused_subrutines / visual effect allocator
.CODE_829DE6,.ToolUsedGoldSickle_Branch_829DE6,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D8B,.ToolUsedGoldSickle_Branch_829D8B,bank_82_toolused_subrutines / visual effect allocator
.CODE_829D92,.ToolUsedGoldSickle_Branch_829D92,bank_82_toolused_subrutines / visual effect allocator
.CODE_829E21,.ToolUsedGoldSickle_Branch_829E21,bank_82_toolused_subrutines / visual effect allocator
.CODE_829FF0,.ToolUsedGoldHoe_Branch_829FF0,bank_82_toolused_subrutines / visual effect allocator
.CODE_829FE3,.ToolUsedGoldHoe_Branch_829FE3,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A004,.ToolUsedGoldHoe_Branch_82A004,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A00F,.ToolUsedGoldHammer_Branch_82A00F,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A141,.ToolUsedGoldHammer_Branch_82A141,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A07B,.ToolUsedGoldHammer_Branch_82A07B,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A01C,.ToolUsedGoldHammer_Branch_82A01C,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A08D,.ToolUsedGoldHammer_Branch_82A08D,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A038,.ToolUsedGoldHammer_Branch_82A038,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A031,.ToolUsedGoldHammer_Branch_82A031,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A03D,.ToolUsedGoldHammer_Branch_82A03D,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A0DA,.ToolUsedGoldHammer_Branch_82A0DA,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A0E9,.ToolUsedGoldHammer_Branch_82A0E9,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A0EE,.ToolUsedGoldHammer_Branch_82A0EE,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A1C9,.ToolUsedGoldAxe_Branch_82A1C9,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A2F7,.ToolUsedGoldAxe_Branch_82A2F7,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A235,.ToolUsedGoldAxe_Branch_82A235,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A1EC,.ToolUsedGoldAxe_Branch_82A1EC,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A29D,.ToolUsedGoldAxe_Branch_82A29D,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A203,.ToolUsedGoldAxe_Branch_82A203,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A2A4,.ToolUsedGoldAxe_Branch_82A2A4,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A296,.ToolUsedGoldAxe_Branch_82A296,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A2A9,.ToolUsedGoldAxe_Branch_82A2A9,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A32D,.ToolUsedSprinkler_Branch_82A32D,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A357,.ToolUsedSprinkler_Branch_82A357,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A376,.ToolUsedSprinkler_Branch_82A376,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A3A2,.ToolUsedMagicBeans_Branch_82A3A2,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A3F5,.ToolUsedGemSeed_Branch_82A3F5,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A473,.ToolUsedChickenFeed_Branch_82A473,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A4A4,.ToolUsedChickenFeed_Branch_82A4A4,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A4B2,.ToolUsedChickenFeed_Branch_82A4B2,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A521,.ToolUsedCowFeed_Branch_82A521,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A552,.ToolUsedCowFeed_Branch_82A552,bank_82_toolused_subrutines / visual effect allocator
.CODE_82A560,.ToolUsedCowFeed_Branch_82A560,bank_82_toolused_subrutines / visual effect allocator
CODE_81A500,MapTilePatchRuntime_AllocateVisualEffectObjectSlot,bank_82_toolused_subrutines / visual effect allocator
