owner_type_or_area,total_entries,entries_still_pending_exact_final_name,missing_percent_within_area,missing_percent_of_total_eventscripts
animal_livestock,181,0,0.000,0.000
bachelorette_exact,25,0,0.000,0.000
carpenter_house_upgrade,3,0,0.000,0.000
church_priest,3,0,0.000,0.000
family_child,9,0,0.000,0.000
family_romance_general,936,577,61.645,44.798
farm_crop_weather,33,0,0.000,0.000
festival_event,31,0,0.000,0.000
object_visual_setup,16,0,0.000,0.000
romance_general,1,0,0.000,0.000
romance_marriage_item,1,0,0.000,0.000
shipping_or_status,31,0,0.000,0.000
sign_manual_bookshelf,5,0,0.000,0.000
weather_farm_warning,5,0,0.000,0.000
wife_family,8,0,0.000,0.000
