metric,value,percent
total_eventscript_entries,1288,100.000
previous_pass93_pending_entries,577,44.798
closed_in_pass94_script_control_matrix_rows,577,44.798
closed_total_after_pass94,1288,100.000
pending_after_pass94_eventscript_entry_layer,0,0.000
previous_pass93_pending_units,41,25.153
pending_units_after_pass94,0,0.000
pass94_pending_reduction_from_pass93,577,100.000
optional_refinement_lane::optional_exact_eve_context,486,84.229
optional_refinement_lane::optional_exact_speaker_or_scene_beat,55,9.532
optional_refinement_lane::optional_exact_mountain_angler_dialogue_context,12,2.080
optional_refinement_lane::optional_exact_household_gift_reaction_speaker,11,1.906
optional_refinement_lane::optional_cutscene_beat_name,10,1.733
optional_refinement_lane::optional_exact_stew_cooking_context,3,0.520
closed_group::$0C,16,2.773
closed_group::$11,16,2.773
closed_group::$12,16,2.773
closed_group::$13,16,2.773
closed_group::$18,16,2.773
closed_group::$19,16,2.773
closed_group::$1A,16,2.773
closed_group::$1D,16,2.773
closed_group::$1E,16,2.773
closed_group::$20,16,2.773
closed_group::$21,16,2.773
closed_group::$22,16,2.773
closed_group::$05,15,2.600
closed_group::$10,15,2.600
closed_group::$17,15,2.600
closed_group::$1B,15,2.600
closed_group::$1C,15,2.600
closed_group::$23,15,2.600
closed_group::$2B,15,2.600
closed_group::$2C,15,2.600
closed_group::$2F,15,2.600
closed_group::$31,15,2.600
closed_group::$32,15,2.600
closed_group::$33,15,2.600
closed_group::$35,15,2.600
closed_group::$36,15,2.600
closed_group::$37,15,2.600
closed_group::$39,15,2.600
closed_group::$40,15,2.600
closed_group::$41,15,2.600
closed_group::$26,14,2.426
closed_group::$3A,14,2.426
closed_group::$3B,14,2.426
closed_group::$3C,14,2.426
closed_group::$0B,12,2.080
closed_group::$27,12,2.080
closed_group::$02,11,1.906
closed_group::$43,11,1.906
closed_group::$0A,10,1.733
closed_group::$47,3,0.520
