file,line,snes_addr,pc_offset,directive,length,first_source_byte,first_rom_byte,diff_bytes_in_line
src/code_banks/bank_82.asm,344,828209,010209,db,4,60,C2,4
src/code_banks/bank_82.asm,345,82820D,01020D,db,4,40,01,3
src/code_banks/bank_82.asm,346,828211,010211,db,4,08,D0,4
src/code_banks/bank_82.asm,347,828215,010215,db,4,08,01,3
src/code_banks/bank_82.asm,348,828219,010219,db,4,00,D0,4
src/code_banks/bank_82.asm,1352,828C09,010C09,dw,12,04,C2,11
src/code_banks/bank_82.asm,1786,828EC6,010EC6,db,16,00,C2,16
src/code_banks/bank_82.asm,1913,8290A8,0110A8,db,16,00,E2,16
src/code_banks/bank_82.asm,1921,82931E,01131E,dw,16,01,C2,15
src/code_banks/bank_82.asm,1922,82932E,01132E,dw,10,00,03,10
src/code_banks/bank_82.asm,3759,82B173,013173,dl,27,00,60,27
src/code_banks/bank_82.asm,3760,82B18E,01318E,dl,27,00,A7,27
src/code_banks/bank_82.asm,3761,82B1A9,0131A9,dl,27,00,A7,27
src/code_banks/bank_82.asm,3762,82B1C4,0131C4,dl,27,00,A7,27
src/code_banks/bank_82.asm,3763,82B1DF,0131DF,dl,27,00,A7,27
src/code_banks/bank_82.asm,3764,82B1FA,0131FA,dl,27,FF,A7,16
src/code_banks/bank_82.asm,3765,82B215,013215,dl,27,00,A7,19
src/code_banks/bank_82.asm,3766,82B233,013233,dl,27,00,FF,16
src/code_banks/bank_82.asm,3767,82B24B,01324B,dl,27,FF,A7,5
src/code_banks/bank_84.asm,2817,848000,020000,dw,16,BB,C2,16
src/code_banks/bank_84.asm,2818,848010,020010,dw,16,E7,00,16
src/code_banks/bank_84.asm,2819,848020,020020,dw,16,E2,C2,16
src/code_banks/bank_84.asm,2820,848030,020030,dw,16,90,CC,16
src/code_banks/bank_84.asm,2821,848040,020040,dw,16,9D,30,16
src/code_banks/bank_84.asm,2822,848050,020050,dw,16,C9,94,16
src/code_banks/bank_84.asm,2823,848060,020060,dw,16,57,A5,16
src/code_banks/bank_84.asm,2824,848070,020070,dw,16,65,75,16
src/code_banks/bank_84.asm,2825,848080,020080,dw,16,8F,97,16
src/code_banks/bank_84.asm,2826,848090,020090,dw,16,89,CC,16
src/code_banks/bank_84.asm,2827,8480A0,0200A0,dw,16,DA,86,16
src/code_banks/bank_84.asm,2828,8480B0,0200B0,dw,4,BF,20,3
src/code_banks/bank_84.asm,2928,8480B4,0200B4,dl,3,00,84,3
src/code_banks/bank_84.asm,2929,8480B7,0200B7,dl,3,00,C2,3
src/code_banks/bank_84.asm,2932,8480BA,0200BA,dw,16,01,7E,16
src/code_banks/bank_84.asm,2933,8480CA,0200CA,dw,16,00,85,15
src/code_banks/bank_84.asm,2936,8480DA,0200DA,dw,16,FE,CC,16
src/code_banks/bank_84.asm,2937,8480EA,0200EA,dw,16,FF,88,16
src/code_banks/bank_84.asm,7240,8480FA,0200FA,dw,12,00,48,12
src/code_banks/bank_85.asm,1375,858647,028647,db,16,01,C2,16
src/code_banks/bank_85.asm,1379,858657,028657,db,16,00,7E,16
src/code_banks/bank_85.asm,1380,858667,028667,db,16,20,7E,16
src/code_banks/bank_85.asm,1381,858677,028677,db,16,40,7E,16
src/code_banks/bank_85.asm,1382,858687,028687,db,16,60,7E,16
src/code_banks/bank_85.asm,1383,858697,028697,db,16,80,7E,16
